,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
387,Nostalgia,Dreadbox,"['Delay', 'Effect', 'External', 'LFO']",10,35.0,117.0,25.0,0.0,99.0,4365,4.14,22.0,Available,0
388,Metron (Black),WMD,['Sequencer'],36,31.0,240.0,0.0,0.0,849.0,4317,4.92,24.0,Available,0
389,Ultra-Random Analog,Steady State Fate,"['Random', 'Sample and Hold', 'Noise', 'Clock Generator', 'Envelope Generator', 'Slew Limiter', 'Clock Modulator', 'Oscillator']",10,33.0,76.0,47.0,0.0,345.0,4311,4.62,80.0,Discontinued,1
390,Tš-L v2,Instruō,"['Oscillator', 'Waveshaper', 'LFO']",6,42.0,60.0,40.0,0.0,308.0,4311,4.5,18.0,Available,0
391,A*B+C,Befaco,"['Mixer', 'Ring Modulator', 'VCA', 'Dual/Stereo', 'Attenuator', 'Polarizer']",6,30.0,40.0,40.0,0.0,140.0,4296,4.68,38.0,Available,1
392,Z4000 VC-EG,Tiptop Audio,['Envelope Generator'],8,28.0,34.0,18.0,0.0,150.0,4271,4.42,62.0,Available,1
393,A-171-2,Doepfer,"['Envelope Generator', 'Function Generator', 'LFO', 'Oscillator', 'Slew Limiter']",8,60.0,30.0,30.0,0.0,120.0,4270,4.31,45.0,Available,0
394,Maths v2 (Grayscale panel),Grayscale,"['Clock Generator', 'CV Modulation', 'Envelope Generator', 'Slew Limiter']",20,24.0,60.0,50.0,0.0,261.0,4224,4.72,28.0,No Info,1
395,Div,2hp,"['Clock Modulator', 'Utility', 'Digital', 'Dual/Stereo']",2,42.0,30.0,3.0,0.0,98.0,4215,4.14,31.0,Available,1
396,Receive 2,Joranalogue Audio Design,['External'],6,45.0,35.0,35.0,0.0,215.0,4214,4.71,14.0,Available,1
397,meloDICER,Vermona,"['Sequencer', 'Quantizer', 'Random']",34,25.0,150.0,50.0,0.0,436.0,4212,4.74,38.0,Available,0
398,A-151v,Doepfer,"['Quad', 'Switch']",4,35.0,20.0,10.0,0.0,60.0,4211,4.86,14.0,Available,0
399,Mysteron,Make Noise,"['Digital', 'Oscillator']",14,24.0,95.0,25.0,0.0,284.0,4202,4.17,69.0,Discontinued,1
400,Mikrophonie,Music Thing Modular,"['External', 'PreAmp', 'Controller']",4,25.0,5.0,0.0,0.0,34.0,4202,4.44,43.0,Available,0
401,Neutron,Behringer,"['Delay', 'Distortion', 'Synth Voice']",80,35.0,750.0,0.0,0.0,299.0,4197,4.2,71.0,Available,0
402,Quad Pingable LFO,4ms Company,"['Clock Modulator', 'Digital', 'LFO', 'Quad']",12,40.0,154.0,73.0,0.0,315.0,4195,4.21,42.0,Available,0
403,Kamieniec,Xaoc Devices,"['LFO', 'Phase Shifter']",9,20.0,40.0,40.0,0.0,240.0,4192,4.64,39.0,Available,1
404,Overseer,WMD,"['Filter', 'Dual/Stereo']",8,40.0,100.0,100.0,0.0,249.0,4183,4.56,17.0,Discontinued,0
405,Nerdseq Black Aluminium Front,XOR Electronics,"['Clock Modulator', 'CV Modulation', 'Sampling', 'Sequencer', 'Envelope Generator', 'LFO', 'Synth Voice']",32,25.0,150.0,40.0,0.0,598.0,4175,4.72,76.0,Available,0
406,4x Stereo Mix,Happy Nerding,"['Mixer', 'Dual/Stereo', 'Quad']",4,35.0,65.0,47.0,0.0,110.0,4172,4.72,25.0,Available,0
407,Trigger Riot,Tiptop Audio,"['Clock Generator', 'Clock Modulator', 'Logic', 'Random', 'Sequencer']",28,28.0,200.0,0.0,0.0,499.0,4172,4.36,47.0,Available,1
408,Voltage Multistage,Verbos Electronics,"['Envelope Generator', 'Function Generator', 'LFO', 'Sequencer', 'Dual/Stereo']",30,26.0,70.0,30.0,0.0,599.0,4168,4.59,32.0,Available,0
409,Planar,Intellijel,"['Controller', 'Mixer', 'Panning', 'Quad', 'VCA']",14,38.0,103.0,95.0,0.0,359.0,4160,4.57,80.0,Discontinued,0
410,Buffered Mult,4ms Company,"['Multiple', 'Video']",3,18.0,13.0,13.0,0.0,89.0,4146,4.61,23.0,Available,0
411,Dark Matter,Bastl Instruments,"['Mixer', 'Distortion', 'Effect', 'Envelope Follower']",13,24.0,75.0,75.0,0.0,358.0,4134,4.5,24.0,Available,0
412,Snare,2hp,['Drum'],2,42.0,75.0,3.0,0.0,125.0,4123,2.92,15.0,Available,1
413,Mixer,Pittsburgh Modular,"['Mixer', 'Attenuator', 'TrueGrid']",8,20.0,10.0,10.0,0.0,85.0,4116,4.2,55.0,Discontinued,0
414,multimode filter / resonator 1047,Behringer,"['Filter', 'Resonator']",16,43.0,55.0,45.0,0.0,95.0,4102,3.0,20.0,Available,0
415,VC ADSR,Befaco,['Envelope Generator'],8,30.0,55.0,15.0,0.0,160.0,4102,4.55,31.0,Available,1
416,Bard Quartet,Shakmat,"['Quantizer', 'Quad']",10,29.0,60.0,10.0,0.0,395.0,4091,4.75,51.0,Available,1
417,Drum Sequencer,Erica Synths,['Sequencer'],42,45.0,152.0,56.0,0.0,600.0,4085,4.7,27.0,Available,1
418,KNIT,Antumbra,"['Digital', 'Drum', 'Noise', 'Oscillator', 'Synth Voice']",6,40.0,50.0,5.0,0.0,170.0,4080,4.5,30.0,Available,0
419,Black Quad VCA,Erica Synths,"['Mixer', 'Quad', 'VCA']",10,25.0,38.0,32.0,0.0,229.0,4078,4.64,9.0,Discontinued,0
420,A-101-2,Doepfer,"['Low Pass Gate', 'Filter', 'VCA']",8,50.0,20.0,20.0,0.0,90.0,4078,3.95,44.0,Available,0
421,MUM M8,ALM Busy Circuits,"['Filter', 'VCA', 'Distortion']",8,32.0,40.0,40.0,0.0,216.0,4075,4.62,16.0,Available,0
422,A-182-2,Doepfer,"['Quad', 'Switch']",4,20.0,78.1,35.6,0.0,60.0,4054,4.73,11.0,Available,0
423,Jumble Henge,ALM Busy Circuits,"['Dual/Stereo', 'Equalizer', 'Mixer', 'Panning']",8,38.0,70.0,70.0,0.0,250.0,4032,4.57,14.0,Available,0
424,2LPG v2,Takaab,"['Dual/Stereo', 'Low Pass Gate', 'VCA']",2,25.0,78.1,35.6,0.0,34.0,4016,4.74,27.0,Available,1
425,Arpitecht,WMD,"['Quantizer', 'Sequencer']",12,30.0,70.0,35.0,0.0,263.0,4014,4.78,25.0,Available,0
426,Sarajewo,Xaoc Devices,"['Delay', 'Effect']",12,33.7,180.0,120.0,0.0,420.0,4008,4.64,25.0,Available,1
427,Black Octasource,Erica Synths,['LFO'],12,25.0,82.0,44.0,0.0,280.0,4001,4.59,29.0,Available,1
428,W/,Mannequins,"['Effect', 'Pitch Shifter ', 'Sampling']",2,39.0,59.0,13.0,0.0,240.0,3995,4.08,26.0,Available,1
429,Black Hole DSP,Erica Synths,"['Effect', 'Delay', 'Digital', 'Reverb']",14,25.0,135.0,31.0,0.0,230.0,3991,4.17,40.0,No Info,1
430,M303,Acidlab,"['Filter', 'Oscillator', 'VCA', 'Synth Voice', 'Envelope Generator']",16,41.0,60.0,20.0,0.0,303.0,3990,4.38,34.0,Available,0
431,Mult,After Later Audio,['Multiple'],2,29.0,20.0,20.0,0.0,45.0,3973,4.45,11.0,Available,0
432,Loop,2hp,"['Digital', 'Sampling', 'Looper']",2,46.0,83.0,8.0,0.0,133.0,3970,3.83,15.0,Available,1
433,A-196,Doepfer,"['Filter', 'Oscillator', 'Effect']",8,40.0,40.0,10.0,0.0,70.0,3963,4.26,58.0,Available,0
434,A-136,Doepfer,"['Waveshaper', 'Distortion']",8,45.0,30.0,10.0,0.0,60.0,3962,3.63,30.0,Available,0
435,A-106-5 SE,Doepfer,['Filter'],8,55.0,30.0,20.0,0.0,90.0,3946,4.57,28.0,Available,0
436,Instant LoFi Junky,Zvex,"['Distortion', 'Effect', 'Filter', 'Pitch Shifter ']",10,26.0,85.0,50.0,0.0,329.0,3925,4.55,31.0,Discontinued,0
437,HiPass,Shakmat,"['Equalizer', 'Filter', 'Quad']",2,40.0,15.0,15.0,0.0,85.0,3912,4.71,41.0,Available,1
438,DTM,Manhattan Analog,"['Mixer', 'Utility', 'Distortion']",4,39.0,12.0,12.0,0.0,99.0,3912,4.71,45.0,Available,0
439,Chance,Qu-Bit Electronix,"['Clock Generator', 'CV Modulation', 'Noise', 'Random']",14,34.0,45.0,17.0,0.0,267.0,3865,4.41,19.0,Discontinued,1
440,Stereo Dipole (Black and Gold),Steady State Fate,"['Dual/Stereo', 'Filter', 'Oscillator', 'Panning', 'Phase Shifter']",20,23.0,150.0,150.0,0.0,356.0,3854,4.4,30.0,Available,0
441,Amplitude & Tone Controller,Verbos Electronics,"['Filter', 'VCA', 'Distortion', 'Low Pass Gate']",16,26.0,30.0,20.0,0.0,359.0,3852,4.56,39.0,Available,0
442,Loquelic Iteritas Percido,Noise Engineering,"['Drum', 'Synth Voice', 'Digital', 'Oscillator']",20,28.0,80.0,5.0,90.0,590.0,3832,4.98,44.0,Available,1
443,VCO,2hp,"['LFO', 'Oscillator']",2,42.0,27.0,24.0,0.0,121.0,3822,4.21,21.0,Available,1
444,Quadigy,Klavis,"['Envelope Generator', 'LFO', 'Quad']",14,21.0,24.0,10.0,40.0,309.0,3818,4.7,46.0,Available,1
