,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
7221,Chronoblob - Magpie white panel,Alright Devices,['Delay'],10,30.0,90.0,30.0,,,74,,,Available,0
7222,Model 180 Dual Attack Generator,Catalyst Audio,"['Envelope Generator', 'Dual/Stereo']",14,45.0,30.0,10.0,,300.0,74,,,Available,0
7223,Mimetic Sequent (Black),Noise Engineering,"['CV Modulation', 'Quantizer', 'Random', 'Sample and Hold', 'Sequencer']",6,26.0,50.0,5.0,0.0,201.0,74,2.0,1.0,Discontinued,1
7224,GЛИТЧ-3,Paratek,"['Utility', 'Video']",6,30.0,150.0,0.0,0.0,160.0,74,5.0,2.0,Available,1
7225,RAVEN - Natural Anodized,birdkids,"['Filter', 'Oscillator', 'VCA', 'LFO', 'Mixer', 'Utility']",42,20.0,180.0,120.0,0.0,1.149,74,5.0,1.0,Available,1
7226,Lorem Ipsum 4HP Blind Panel (Black),Noise Engineering,['Blank Panel'],4,,,,,14.0,74,,,Available,0
7227,Bad Idea #1800-CALL-YER-MUM,Møffenzeef Mødular,"['Drum', 'Oscillator']",12,20.0,25.0,25.0,0.0,179.0,74,4.0,1.0,Available,1
7228,Ex 2hp - Silver Panel,Plum Audio,"['Attenuator', 'CV Modulation']",2,35.0,10.0,10.0,0.0,44.0,74,,,Available,1
7229,4023 VCF Aluminum,G-Storm Electro,"['Filter', 'Mixer']",8,22.0,8.0,8.0,0.0,144.0,74,,,Discontinued,0
7230,RS-650 Reverb Echo,Analogue Systems,"['Delay', 'Effect', 'Reverb']",12,65.0,100.0,70.0,50.0,310.0,74,4.0,1.0,Available,0
7231,ADDAC308,ADDAC System,"['CV Modulation', 'Expression']",4,45.0,50.0,50.0,0.0,130.0,74,,,Available,0
7232,Gaeto Grey,AtoVproject,"['Logic', 'Sequencer', 'Frequency Divider']",6,20.0,24.0,12.0,0.0,110.0,74,4.33,3.0,Available,1
7233,Black & Gold Shifty Panel,Modular Maculata,"['Clock Modulator', 'Multiple', 'Sample and Hold', 'Sequencer', 'Switch']",6,40.0,49.0,4.0,0.0,17.0,75,,,Available,1
7234,UTILITY – 1 Mix Mult,Ebashi Audio,"['Mixer', 'Multiple', 'Utility']",12,25.0,60.0,60.0,,180.0,74,2.0,1.0,Available,0
7235,Marbles - Black Panel,Mörk Modules,"['Clock Generator', 'Clock Modulator', 'Digital', 'Quantizer', 'Random', 'Sequencer', 'Blank Panel']",18,25.0,80.0,20.0,0.0,323.0,73,,,Available,0
7236,Stages - Black Panel,Mörk Modules,"['CV Modulation', 'Envelope Generator', 'LFO', 'Sample and Hold', 'Sequencer', 'Slew Limiter', 'Blank Panel']",14,25.0,80.0,20.0,0.0,307.0,74,,,Available,0
7237,4hp Genesis Blank Panel,Techno Logic,['Blank Panel'],4,,,,,10.0,74,,,Available,0
7238,quarté mk2,Bizarre Jezabel,"['Delay', 'Dual/Stereo', 'Effect', 'Low Pass Gate', 'Quad', 'VCA']",10,25.0,120.0,30.0,,171.0,74,5.0,1.0,Available,1
7239,2hp Dual VCA,BeepBoop Electronics,"['Utility', 'VCA']",2,35.0,70.0,70.0,,102.0,74,5.0,3.0,Available,0
7240,16hp Blank Panel,Steady State Fate,['Blank Panel'],16,,,,,,74,,,Available,1
7241,M-056 6-ch Aux Mixer,Ladik,"['Attenuator', 'Mixer']",12,40.0,35.0,0.0,0.0,75.0,74,,,Available,0
7242,Punch MG,Patching Panda,"['Dynamics', 'Envelope Generator', 'Mixer', 'Quad', 'Utility', 'VCA']",16,,180.0,64.0,,253.0,74,5.0,1.0,Available,1
7243,Towel,Motley Modular,"['Attenuator', 'Mixer', 'Utility']",2,25.0,10.0,10.0,0.0,55.0,74,5.0,2.0,Available,1
7244,Pingable Envelope Generator (external 5v),4ms Company,"['Clock Generator', 'Clock Modulator', 'Dual/Stereo', 'Envelope Generator', 'Function Generator', 'LFO']",20,26.0,60.0,35.0,40.0,295.0,74,,,Available,0
7245,DC,Black Noise,"['Mixer', 'Utility']",2,20.0,3.0,3.0,0.0,54.0,74,,,Available,1
7246,Rampes,Syntonie,"['Function Generator', 'Video']",8,45.0,200.0,0.0,0.0,319.0,74,,,Available,1
7247,XMX,Percussa,"['Delay', 'Filter', 'LFO', 'MIDI', 'Oscillator', 'Reverb', 'Sampling', 'Synth Voice']",28,25.0,500.0,100.0,0.0,426.0,74,,,Available,1
7248,Two Bits (Black panel),Klavis,"['Digital', 'Frequency Divider', 'Logic', 'Utility']",5,21.0,31.0,1.0,0.0,149.0,74,,,Available,0
7249,ADDAC200 Multiples,ADDAC System,['Multiple'],4,15.0,,,,40.0,73,5.0,1.0,,0
