,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
6271,SEND,ST Modular,"['Dual/Stereo', 'Effect', 'Mixer']",8,35.0,25.0,15.0,0.0,,75,,0.0,Available,0
6272,Equation Group,Wildfire Laboratories,"['Digital', 'Logic', 'Multiple', 'Sample and Hold', 'Utility']",4,,,,,43.0,75,,0.0,Available,1
6273,GODSPEar,G-Storm Electro,"['Filter', 'Mixer']",12,30.0,61.0,51.0,0.0,192.0,75,5.0,1.0,Available,0
6274,DSO 2,Tall Dog,"['Tuner', 'Utility']",14,34.0,8.0,8.0,250.0,160.0,75,,0.0,Available,0
6275,zSUM-4,Motovilo,"['Attenuator', 'Mixer']",10,45.0,20.0,20.0,0.0,162.0,75,4.75,8.0,Available,0
6276,MRG 3310 ADSR,MRG Synthesizers,['Envelope Generator'],4,40.0,18.0,17.0,0.0,80.0,75,,0.0,Discontinued,0
6277,Programa,Blind Monk Modular,"['CV Modulation', 'Digital', 'Envelope Generator', 'Function Generator', 'LFO']",8,,12.0,23.0,29.0,151.0,75,3.5,2.0,Available,0
6278,QUADBOOL,XOXO Modular,['Logic'],5,35.0,69.0,0.0,0.0,141.0,75,,0.0,Available,1
6279,STEREO42,BearModules,"['Dual/Stereo', 'Dynamics', 'Mixer']",10,34.0,10.0,10.0,,199.0,75,1.0,1.0,Available,0
6280,Millipede VP VCF,Blue Lantern Modules,['Filter'],13,32.0,58.0,56.0,,223.0,74,5.0,1.0,,0
6281,Ex 2hp - Silver Panel,Plum Audio,"['Attenuator', 'CV Modulation']",2,35.0,10.0,10.0,0.0,44.0,74,,0.0,Available,1
6282,DC,Black Noise,"['Mixer', 'Utility']",2,20.0,3.0,3.0,0.0,54.0,74,,0.0,Available,1
6283,Gaeto Grey,AtoVproject,"['Logic', 'Sequencer', 'Frequency Divider']",6,20.0,24.0,12.0,0.0,110.0,74,4.33,3.0,Available,1
6284,4023 VCF Aluminum,G-Storm Electro,"['Filter', 'Mixer']",8,22.0,8.0,8.0,0.0,144.0,74,,0.0,Discontinued,0
6285,quarté mk2,Bizarre Jezabel,"['Delay', 'Dual/Stereo', 'Effect', 'Low Pass Gate', 'Quad', 'VCA']",10,25.0,120.0,30.0,,171.0,74,5.0,1.0,Available,1
6286,Model 180 Dual Attack Generator,Catalyst Audio,"['Envelope Generator', 'Dual/Stereo']",14,45.0,30.0,10.0,,300.0,74,,0.0,Available,0
6287,Rampes,Syntonie,"['Function Generator', 'Video']",8,45.0,200.0,0.0,0.0,319.0,74,,0.0,Available,1
6288,VCF M104,EMW,"['Filter', 'Mixer']",10,60.0,22.0,9.0,,109.0,74,,0.0,Discontinued,0
6289,RAVEN - Natural Anodized,birdkids,"['Filter', 'Oscillator', 'VCA', 'LFO', 'Mixer', 'Utility']",42,20.0,180.0,120.0,0.0,1.149,74,5.0,1.0,Available,1
6290,2LFO SH,Barton Musical Circuits,"['Dual/Stereo', 'LFO', 'Sample and Hold']",8,,,,,,74,4.67,3.0,,0
6291,Towel,Motley Modular,"['Attenuator', 'Mixer', 'Utility']",2,25.0,10.0,10.0,0.0,55.0,74,5.0,2.0,Available,1
